Nom;Sigle;dep.;Ville;Joueurs;Age;Jeune;Sénior;Vétéran;  N  ;  R  ;  D  ;  P  ; NC ;Matchs;Points;Ecole
Badminton Club de Bazeilles;BCB;08;Bazeilles;14;18.5;10;2;2;;;5;4;5;0;178.41;0
Badminton Club Des Baous;BCB;06;Saint-Jeannet;60;35.6;12;14;34;;;2;20;38;39;132.17;287
Badminton Club Baldivien;BCB;56;Baud;9;43.3;0;0;9;;;;7;2;8;11.32;0
Badminton Club du Bouchardais;BCB;37;L'Île-Bouchard;19;17.2;15;2;2;;;;;19;0;0;0
Badminton Club Aubagnais;BCAUB;13;Aubagne;165;33.8;40;42;83;3;23;18;32;89;271;22391.8;190
Badminton Club Appameen;BCAP;09;Pamiers;44;26.4;20;9;15;;4;6;15;19;109;3546.73;0
Bad'Club Allennes les Marais;BCALM;59;Allennes-les-Marais;57;27.2;25;12;20;;;3;12;42;38;129.61;145
Badminton Club des Aiglons d'Eyguieres;BCAE;13;Eyguières;86;25.7;39;19;28;;9;8;29;40;74;4623.7;285
Badminton Club de l'Antonnière;BCA72;72;La Milesse;195;25.3;100;31;64;;3;6;64;122;81;1315.6;0
Badminton Club Arras;BCA;62;Arras;227;23.4;102;82;43;20;31;36;34;106;464;182500;683
Badminton Club D'Antibes;BCA;06;Antibes;178;25.4;67;67;44;19;29;32;40;58;724;103195;495
Badminton Club Auray;BCA;56;Auray;117;22.8;68;19;30;;4;11;27;75;105;1583.26;0
Badminton Club Aubusson;BCA;23;Aubusson;32;37.0;2;12;18;;2;6;12;12;8;951.78;0
Badminton Club Auxonnais;BCA;21;Auxonne;73;28.0;30;11;32;;2;2;31;38;88;467.89;155
Badminton Club Aturin;BCA;40;Aire-sur-l'Adour;59;28.2;19;14;26;;;8;17;34;154;462.31;0
Badminton Club d'Argoat;BCA;22;Grâces;51;24.7;24;15;12;;;11;10;30;7;332.67;0
Badminton Club Avord;BCA;18;Avord;24;28.0;7;7;10;;;3;6;15;0;101.42;175
Badminton Club Aramonais;BCA;30;Aramon;0;0.0;0;0;0;;;;;;0;0;0
Badminton Club De Seichamps Saulxures;BC2S;54;Seichamps;87;29.7;29;24;34;;2;11;25;49;110;1228.63;0
Badminton Chalonnais;BC;49;Chalonnes-sur-Loire;98;24.0;49;15;34;;;15;35;48;45;844.82;372
Badminton Cambrai;BC;59;Cambrai;80;23.1;35;31;14;;2;8;15;55;25;699.98;0
Badminton Cayolais;BC;80;Cayeux-sur-Mer;27;34.7;5;9;13;;1;3;5;18;0;447.07;0
Bad Cousances;BC;55;Cousances-les-Forges;31;40.3;1;8;22;;;7;12;12;0;231.26;0
Badminton de Casson;BC;44;Casson;91;35.4;16;15;60;;;1;30;60;12;211.2;245
Badminton Coëxien;BC;85;Coëx;20;20.4;12;3;5;;;2;10;8;18;115.39;0
Badminton Ceaucéen;BC;61;Ceaucé;22;22.3;13;1;8;;;1;16;5;10;76.75;0
Bad Coët;BC;56;Trédion;0;0.0;0;0;0;;;;;;0;0;125
Badminton Cotterezien;BC;02;Villers-Cotterêts;0;0.0;0;0;0;;;;;;0;0;0
Badminton Cunlhatois;BC;63;Cunlhat;0;0.0;0;0;0;;;;;;0;0;0
Bad Castel;BC;52;Châteauvillain;0;0.0;0;0;0;;;;;;0;0;0
Badminton Céranais;BC;72;Cérans-Foulletourte;20;34.4;0;9;11;;;;;20;0;0;0
Badminton du Bout du Monde de Plouarzel;BBMP;29;Plouarzel;22;22.0;9;8;5;;1;10;9;2;97;554.83;0
La Bande du Bad'Ille;BBI;35;Montreuil-sur-Ille;9;35.1;0;6;3;;;;6;3;0;49.92;0
BBG13 Paris Badminton;BBG13;75;Paris;83;31.7;1;51;31;;;7;30;46;65;298.15;0
Bad La Bohalle - La Dagueniere;BBD;49;La Bohalle;11;44.6;0;1;10;;1;5;5;;0;885.14;0
Les Ba Bad Cools de Parigné;BBCP;72;Parigné-l'Évêque;51;23.6;27;8;16;;5;8;23;15;148;1458.35;205
Bondy Badminton Club 93;BBC93;93;Bondy;67;22.4;32;23;12;3;11;8;18;27;152;19519.1;0
Bolbec Badminton Club 76;BBC76;76;Bolbec;87;25.7;45;10;32;;;2;22;63;21;152.99;279
B-A BAD Des Commiers;BBC38;38;Saint-Georges-de-Commiers;45;37.4;8;7;30;;8;16;7;14;74;3368.52;0
Bellegarde Badminton Club;BBC01;01;Bellegarde-sur-Valserine;100;30.9;23;35;42;;;8;22;70;28;256.81;115
Blagnac Badminton Club;BBC;31;Blagnac;266;26.9;69;131;66;14;39;44;58;111;540;85467.8;556
Bethune B.c.;BBC;62;Béthune;138;21.4;76;34;28;13;17;17;21;70;265;71167.3;673
Bayonne Badminton Club;BBC;64;Bayonne;113;30.4;19;58;36;;16;19;36;42;282;15371.4;215
Blois Badminton Club;BBC;41;Blois;126;24.6;57;43;26;2;16;22;33;53;241;13240.4;306
Bages Badminton Club;BBC;66;Bages;145;21.7;83;29;33;;17;19;39;70;389;10522.6;400
Briancon Badminton Club;BBC;05;Briançon;73;29.5;31;8;34;;6;15;30;22;222;3817.72;511
Bar Le Duc Badminton Club;BBC;55;Bar-le-Duc;89;21.5;52;19;18;;4;20;22;43;104;2536.93;434
Barentin Badminton Club;BBC;76;Barentin;108;26.6;47;27;34;;5;13;22;68;54;2361.2;0
Belleville Badminton Club;BBC;18;Belleville-sur-Loire;45;26.8;18;10;17;;5;11;16;13;32;1736.11;175
Breizh Badminton Club;BBC;56;Moréac;49;21.6;26;17;6;;4;6;12;27;23;1688.2;0
Bagnoles Badminton Club;BBC;61;Bagnoles De L Orne Normandie;46;30.7;21;2;23;;3;10;14;19;59;1135.88;283
Blanzat Badminton Club;BBC;63;Blanzat;48;34.8;8;17;23;;2;6;23;17;20;644.27;0
Bethisy Badminton Club;BBC;60;Béthisy-Saint-Pierre;47;25.2;16;19;12;;;15;4;28;56;625.9;0
Boucain Badminton Club;BBC;13;Bouc-Bel-Air;120;27.8;59;22;39;;1;6;37;76;0;579.93;140
Badminton Bouriane Club;BBC;46;Gourdon;37;26.1;19;7;11;;;8;18;11;118;277.02;235
Bacchus Badminton Club;BBC;36;Issoudun;88;31.2;18;28;42;;;4;16;68;6;196.87;0
Biard Badminton Club;BBC;86;Biard;32;36.7;4;9;19;;;4;7;21;0;160.24;0
Botoret Badminton Club;BBC;71;Chauffailles;49;25.7;27;2;20;;;3;19;27;32;145.84;254
Baulon Badminton Club;BBC;35;Baulon;42;18.8;29;1;12;;;;13;29;32;56.57;145
Brezolles Bad' Club;BBC;28;Brezolles;30;20.9;19;4;7;;;;11;19;0;48.59;0
Bleuets Badminton Club;BBC;46;Saint-Cyprien;7;56.0;0;0;7;;;;5;2;21;10.92;0
Banon J'T'Aim Agathe Badminton;BBC;04;Banon;21;28.1;8;6;7;;;;10;11;10;6.35;0
Brinon Badminton Club;BBC;18;Brinon-sur-Sauldre;8;12.9;7;1;0;;;;1;7;0;3.81;0
Bussy Badminton Club;BBC;77;Bussy-Saint-Georges;0;0.0;0;0;0;;;;;;0;0;205
Badminton Brehal-Cerences;BBC;50;BREHAL-CERENCES;0;0.0;0;0;0;;;;;;0;0;0
Beaurepaire Badminton;BBAD38;38;Beaurepaire;90;26.3;44;13;33;;;8;29;53;13;570.56;309
BLERE BADMINTON;BBAD;37;Bléré;37;27.1;16;8;13;;;1;5;31;8;28.88;0
Badminton Brain Andard;BBA;49;Brain-sur-l'Authion;0;0.0;0;0;0;;;;;;0;0;0
Bruyeres Badminton;BB88;88;Bruyères;35;23.7;20;7;8;;2;13;14;6;74;1027.51;0
Baldo Bad;BB42;42;Saint-Galmier;93;29.6;31;24;38;;5;15;30;43;165;3091.18;300
Bayard Bad;BB38;38;Pontcharra;70;26.7;33;14;23;;;3;30;37;23;240.98;0
Badminton Briviste;BB;19;Brive-la-Gaillarde;166;25.0;71;56;39;2;16;42;49;57;715;19704.7;437
Badminton Beaunois;BB;21;Beaune;165;31.1;53;35;77;;9;11;54;91;12;3864.14;360
Badminton Balaze;BB;35;Balazé;27;29.2;9;4;14;;6;9;7;5;63;3342.73;0
Badistes de la Boëme;BB;16;Mouthiers-sur-Boëme;73;30.0;18;28;27;;5;10;35;23;46;1997.69;125
Badminton Bressuirais;BB;79;Bressuire;80;23.0;39;21;20;;6;10;22;42;54;1787.41;0
Badminton Beaupréau;BB;49;Beaupréau;45;33.2;0;25;20;;2;14;18;11;36;1383.37;0
Bouffemont Badminton;BB;95;Bouffémont;86;37.4;18;13;55;;;8;23;55;34;435.73;0
Badminton Belvésois;BB;24;Pays de Belvès;22;35.8;0;13;9;;;4;9;9;47;135.96;0
Badminton du Bourgeais;BB;33;Bourg Sur Gironde;44;23.4;26;6;12;;;3;11;30;0;132.97;0
Badminton Boussois;BB;59;Boussois;28;29.6;6;11;11;;;3;2;23;2;109.1;0
BAD BRINAY;BB;18;Brinay;12;41.9;0;5;7;;;;4;8;0;3.73;0
Buxy Badminton;BB;71;Buxy;0;0.0;0;0;0;;;;;;0;0;0
Bad' Alliance Tonnay Charente;BATC;17;Tonnay-Charente;110;21.4;67;16;27;;10;23;18;59;136;4626.6;470
Bon Accueil Toulon Badminton;BATB;83;Toulon;52;21.6;35;4;13;;1;5;9;37;27;234.07;0
Badminton Athletic Tarbais;BAT;65;Tarbes;119;25.2;40;54;25;;4;17;28;70;99;1594.03;0
Club De Badminton Ste Luce/loire;BASL;44;Sainte-Luce-sur-Loire;179;39.6;3;57;119;;;16;51;112;45;707.98;0
Badminton Passion Mainvilliers;BAPAMA;28;Mainvilliers;114;26.8;41;36;37;2;19;29;32;32;443;18428.1;282
Badminton Club du Pays d'Auge Dozuléen;BAPADOZ;14;Dozulé;0;0.0;0;0;0;;;;;;0;0;0
BAD' A PANAME;BAP;75;Paris;157;30.4;27;72;58;;11;28;32;86;128;6246.34;220
BAD ARNAGE MULSANNE;BAM;72;Mulsanne;152;25.8;65;39;48;1;21;18;46;66;234;16659.2;435
Bad Au Monas;BAM;12;Le Monastère;98;25.5;49;15;34;;1;26;34;37;8;1123.5;370
Bad à Morières;BAM;84;Morières-lès-Avignon;83;22.4;46;16;21;;;7;27;49;11;194.86;0
Badminton Alpilles Montagnette;BAM;13;Tarascon et St Rémy de Provence;46;29.8;13;16;17;;;2;9;35;30;64.39;0
Badminton Amicale Laique Pontorson;BALP;50;Pontorson;28;27.5;13;4;11;;;1;10;17;15;77.36;125
Badminton Lezoux;BALEZ;63;Lezoux;28;37.6;0;10;18;;;5;12;11;0;176.81;0
Bad a Labege;BAL;31;Labège;100;34.0;15;31;54;;;10;40;50;33;529.21;0
Badminton Ass. Loisirs Cisse;BAL;86;Cissé;0;0.0;0;0;0;;;;;;0;0;0
BADAGOUESNOU;BAG;29;Gouesnou;5;23.8;1;3;1;;;3;1;1;15;130.89;150
Bad à Gogo;BAG;43;Sainte-Sigolène;29;40.8;0;4;25;;;1;17;11;20;117.3;0
Badminton Argelès-Gazost;BAG;65;Argelès-Gazost;50;35.7;9;13;28;;;1;7;42;0;23.32;140
Badminton Association Frangy;BAF74;74;Frangy;113;25.0;50;29;34;6;6;10;31;60;197;26000.8;349
Bad A Flo;BAF;34;Florensac;30;40.5;2;7;21;;6;9;12;3;95;3334.42;0
Badminton Association de Fleurance;BAF;32;Fleurance;28;40.0;1;10;17;;;5;12;11;0;184.11;0
USPG Badminton;BADUSPG;89;Saint-Valérien;7;38.1;0;2;5;;;;5;2;6;9.6;0
Badminton Union Sportive Ormesson;BADUSO;94;Ormesson-sur-Marne;34;34.6;3;16;15;;;2;19;13;0;147.22;0
Badminton Tennis de Table Club Saint Martin;BADTTSM;62;Noyelles-Godault;23;10.4;22;0;1;;;;;23;0;0;0
Badminton Ass Dynamique Tinqueux;BADT;51;Tinqueux;113;23.6;57;27;29;;6;19;36;52;152;3089.52;530
Badminton Associatif de Six Fours;BADS;83;Six-Fours-les-Plages;71;29.0;29;12;30;;3;11;28;29;16;1627.07;0
Badminton Pignan;BADPIG;34;Pignan;68;37.6;5;21;42;;10;16;23;19;101;6686.22;0
Ass. Sportive de Badminton de St André le Bouchoux;BADOBOUCHO;01;Saint-André-le-Bouchoux;0;0.0;0;0;0;;;;;;0;0;0
Union Sportive de Noyal-Chatillon sur Seiche;BADNC;35;Noyal-chatillon;74;32.4;22;12;40;;;6;30;38;0;337.5;0
Badminton Livradais;BADLIV;47;Sainte Livrade;33;29.2;12;9;12;;;1;15;17;26;71.16;95
Badlevier;BADLEVIER;25;Levier;37;36.9;3;12;22;;;2;15;20;12;112.98;0
Badminton Oberhoffen/Moder Kaltenhouse;BADKOM;67;Oberhoffen-sur-Moder;72;25.4;32;17;23;;7;23;19;23;64;3414.22;417
Club De Prevessin Badmin Gessien;BADGE01;01;Prévessin-Moëns;124;34.0;9;60;55;;11;18;44;51;127;8174.93;0
Badminton D'orcines;BADDOR;63;Orcines;0;0.0;0;0;0;;;;;;0;0;0
Badminton Club De Ouistreham;BADCO;14;Ouistreham;36;25.7;15;11;10;;;4;5;27;0;180.54;0
Bad Brou;BADBROU;28;Brou;53;36.7;2;21;30;;;7;23;23;90;352.35;0
Badbonneval;BADB;28;Bonneval;75;25.9;32;18;25;;1;18;28;28;130;895.78;225
Badavaiges;BADAVAIGES;53;Vaiges;19;34.3;1;9;9;;;3;13;3;48;199.35;0
Badminton Associatif Uzerchois;BADAU;19;Uzerche;10;34.0;0;5;5;;;;4;6;9;4.22;0
Badminton A Solaize;BADASOL69;69;Solaize;55;37.8;9;11;35;;;11;20;24;0;367.84;0
Badminton Ambrières;BADAM;53;Ambrières-les-Vallées;0;0.0;0;0;0;;;;;;0;0;0
Bad' A Chaz';BADACHAZ69;69;Chazay-d'Azergues;113;24.3;57;18;38;;;12;37;64;107;625.19;340
Badaboum Badminton Club Mouilleron St Germain;BADABOUM;85;Mouilleron St Germain;24;31.8;2;13;9;;;9;10;5;55;496.3;0
Bad. Argenteuil Detente 95;BAD95;95;Argenteuil;54;30.0;16;16;22;;1;11;10;32;10;840.9;0
Badmin 9;BAD9;75;Paris;0;0.0;0;0;0;;;;;;0;0;0
Badminton à Damparis 39;BAD39;39;Damparis;92;25.9;42;23;27;;1;11;33;47;72;1057.23;160
Badminton Paris 18eme;BAD18;75;Paris;185;30.4;18;117;50;;12;22;32;119;106;7491.54;85
BADISET;BAD17;75;Paris;131;34.1;0;80;51;;2;18;38;73;136;1498.26;0
BAD'LAROC;BAD.LAROC;13;La Roque-d'Anthéron;39;24.8;23;4;12;;;1;3;35;4;11.89;0
Badminton Club De Villepreux;BACV;78;Villepreux;100;32.0;30;18;52;;4;13;35;48;30;1678.22;170
Badminton Couzeixois;BACOU;87;Couzeix;162;27.4;72;28;62;;7;31;52;72;245;3753.72;335
Bacobad Club;BACOBAD;53;La Baconnière;33;34.8;2;12;19;;;1;17;15;36;170.54;0
BADMINTON CLUB OULLINS;BACO69;69;Oullins;314;25.5;113;124;77;28;24;41;54;167;644;192834;824
Badminton Club Montcy Nd;BACM;08;Montcy-Notre-Dame;22;38.4;2;7;13;;;6;9;7;38;308.3;0
Badminton Club De Lyon;BACLY69;69;Lyon;516;26.7;141;250;125;18;48;46;102;302;800;146300;741
Badminton Club Jonzacais;BACJ;17;Jonzac;62;29.4;11;28;23;;;;26;36;0;150.11;155
Badminton Associatif Choletais;BACH;49;Cholet;271;26.1;123;73;75;15;15;32;46;163;480;117110;764
Badminton Athletique Club Dionysien;BACD;33;Saint-Denis-de-Pile;37;37.4;9;3;25;;9;17;3;8;38;5212.88;0
Badminton Albertville Ca Cartonn;BACC73;73;Albertville;72;25.1;29;26;17;;8;12;10;42;211;3900.93;282
Badminton Club Coullons;BACC;45;Coullons;54;24.3;28;7;19;;;5;27;22;73;283.59;263
Badminton Club De Bourges;BACB;18;Bourges;229;28.9;65;84;80;12;12;33;37;135;326;77988.5;606
Badminton Club Boroillot;BACB;25;Valentigney;14;25.1;7;4;3;;1;;5;8;4;123.38;115
Badminton Athletic Club;BAC69;69;Saint-Priest;154;31.0;28;71;55;;11;15;38;90;156;3715.19;170
Badminton Angers Club;BAC49;49;Angers;249;25.0;77;126;46;;21;38;70;120;331;9484.72;421
Bondoufle Amical Club;BAC;91;Bondoufle;168;28.9;46;60;62;2;32;26;46;62;233;28884.7;253
Badminton Arpajon Club;BAC;15;Arpajon-sur-Cère;91;21.8;55;18;18;;7;11;39;34;84;3832.12;410
Bad. Association Cornebarrieu;BAC;31;Cornebarrieu;112;33.7;32;19;61;;1;14;27;70;16;910.65;0
Badminton Audenge Club;BAC;33;Audenge;48;29.5;19;7;22;;;;25;23;0;119.34;0
Badminton Artolie Club;BAC;33;Langoiran;26;29.5;7;7;12;;;1;5;20;0;52.28;0
Baume-les-dames Bad. Doubs Centr;BABADOUC;25;Baume-les-Dames;141;29.2;54;28;59;2;19;16;25;79;275;13812.7;645
Belle Allée Badminton;BABAD;45;Chaingy;1;54.0;0;0;1;;;;;1;0;0;0
Bayard Argentanaise Badminton;BABA;61;Argentan;124;26.1;49;35;40;7;26;32;15;44;453;42387.1;767
Badminton Aix Les Bains;BAB73;73;Aix-les-Bains;133;27.6;52;38;43;;4;4;45;80;124;2146.6;327
Bad à Brech;BAB;56;Brech;78;26.9;38;12;28;;;4;22;52;46;156.2;260
Badminton Aiglon;BA;61;L'Aigle;88;22.6;50;20;18;;3;15;28;42;187;1868.26;445
Bad'Athis;BA;91;Athis-Mons;76;36.9;10;16;50;;2;3;23;48;3;492.09;0
Bad'Argent;BA;18;Argent-sur-Sauldre;46;26.3;19;11;16;;;;18;28;64;75.11;0
BAD'Astaffort;BA;47;Astaffort;20;40.4;3;3;14;;;;10;10;15;47.5;0
Badarinthod;BA;39;Arinthod;23;34.0;5;7;11;;;1;;22;0;27.4;0
Badminton Club Courcelles-Chaussy;B3C;57;Courcelles-Chaussy;60;24.5;32;7;21;;;8;9;43;11;197.86;233
Badminton Club Concorde Coueron;B3C;44;Couëron;31;37.7;3;5;23;;;2;11;18;0;114.65;0
Badminton Saint Sébastien;B2S;44;Saint-Sébastien-sur-Loire;167;28.5;56;49;62;;;9;52;106;77;434.37;356
Badminton Le Lude;B2L;72;Le Lude;59;26.1;26;12;21;;;4;18;37;10;172.32;0
Le Cormier Volant;B2CV;35;Saint-Aubin-du-Cormier;79;28.1;28;20;31;;;8;33;38;0;424.32;0
Badminton Annemasse Agglo;B2A74;74;Annemasse;233;27.5;84;65;84;13;24;39;48;109;565;57727.4;612
Badminton Club Castelnaudary;B.C.CA.;11;Castelnaudary;66;25.4;39;6;21;1;6;11;17;31;98;9101.95;641
Badminton Club Bacchus Generacois;B.C.B.G;30;Générac;44;27.8;19;8;17;;;5;12;27;19;259.72;255
Badminton Club Auberoche Isle Manoire 24;B.C.A.I.M;24;Saint-Pierre-de-Chignac;71;30.9;19;18;34;;;4;1;66;17;22.63;0
Badminton club d'ares;B.C.A;33;Arès;35;28.3;12;10;13;;5;8;5;17;16;2517.6;0
Badminton à Barjouville;B.A.BA;28;Barjouville;64;31.5;22;13;29;;;1;19;44;13;110.01;0
Les As Du Volant Tregueusiens;AVT;22;Trégueux;102;25.5;31;47;24;1;11;24;16;50;91;12835.4;208
As Du Volant;AVT;95;Taverny/Saint Leu la Forêt;210;30.3;70;54;86;;6;17;48;139;116;2398.93;0
Association Les Volants Du Temple;AVT;44;Le Temple-de-Bretagne;116;24.2;59;27;30;;1;15;53;47;86;910.84;415
Les As du Volant club de Badminton de Montbazon;AVMB;37;Montbazon;87;29.9;32;18;37;;;3;21;63;20;165.79;165
Aigues Vives Badminton;AVB;30;Aigues-Vives;115;24.3;62;15;38;;5;28;32;50;133;2992.27;471
Allonnes Varennes Badminton;AVB;49;Allonnes;16;36.2;0;7;9;;;;14;2;0;124.5;0
Auz' le Bad;AUZ31;31;Auzeville-Tolosane;0;0.0;0;0;0;;;;;;0;0;0
Asso.Unite Voisinage de la Roue;AUVR69;69;Rillieux-la-Pape;10;44.9;1;1;8;;;;;10;0;0;0
Ligue Auvergne-Rhône-Alpes de badminton;AURA;38;Saint cassien;19193;28.4;6528;5734;6931;256;1251;2333;5474;9879;25822;1824300;0
Aix Universite Club Badminton;AUCB;13;Aix-en-Provence;328;26.2;116;129;83;19;46;28;62;173;650;228604;625
Amiens Univ. Club Badminton;AUC;80;Amiens;186;25.3;56;90;40;7;18;27;38;96;461;41249.5;341
Association Uvéa Badminton;AUB;0;WALLIS;0;0.0;0;0;0;;;;;;0;0;0
ATSCAF-Ecole Nat. Des Finances Publiques;ATSCAFENFI;63;Clermont-Ferrand;0;0.0;0;0;0;;;;;;0;0;0
Ass. Thiaisienne Badminton;ATB;94;Thiais;160;27.4;55;59;46;;9;18;36;97;25;6470.66;294
Association Sportive du Volant Roquefortois;ASVR;06;Roquefort-les-Pins;32;34.9;8;8;16;;;5;11;16;4;166.58;170
Association du Volant Meyssacois;ASVM;19;Meyssac;28;36.8;2;9;17;;;1;11;16;83;117.58;0
Association Sportive de Villefontaine Badminton;ASVF38;38;Villefontaine;31;35.4;5;7;19;;;6;9;16;18;344.77;0
Ass. Sport. Vierzon Badminton;ASVB;18;Vierzon;57;27.1;24;16;17;;3;11;20;23;25;1404.18;340
Association Sportive Villeneuve Badminton;ASVB;34;Villeneuve-lès-Maguelone;115;28.4;47;24;44;;;9;45;61;68;388.33;0
Avenir Sportif Vezin Le Coquet;ASV;35;Vezin-le-Coquet;54;26.1;13;31;10;;3;8;10;33;37;986.29;297
Ass.sport. De Villennes/seine;ASV;78;Villennes-sur-Seine;107;27.8;51;18;38;;4;4;25;74;8;956.74;290
Ass. Sportive De Ventabren;ASV;13;Ventabren;53;28.4;18;18;17;;1;5;27;20;23;539.95;210
Association Sportive Ugine Badminton;ASUB73;73;Ugine;25;31.6;7;5;13;;;2;8;15;6;58.04;0
Association Sportive Too Bad;ASTOOBAD;75;Paris;145;31.4;0;112;33;;;5;42;98;54;330.83;0
A.s. Toulouse Mirail Badminton;ASTMB;31;Toulouse;43;29.3;11;17;15;;;1;19;23;0;154.02;245
Ast Badminton;ASTBAD;28;Châteauneuf-en-Thymerais;96;27.4;36;21;39;;;12;27;57;44;447.72;215
Association Sportive Thurialaise;ASTBAD;35;Saint-Thurial;21;39.3;0;8;13;;;3;17;1;0;246.92;0
Association Saint Trivier Badminton 01;ASTB01;01;Saint-Trivier-de-Courtes;0;0.0;0;0;0;;;;;;0;0;0
Association Sportive Tierce;ASTB;49;Tiercé;5;32.8;0;2;3;;2;1;2;;0;252.54;0
Asso.sportive Tonnerroise;AST;89;Tonnerre;48;30.0;14;13;21;;5;9;16;18;72;4691.67;230
Association Sportive Sapeurs Pompiers Badminton;ASSPBAD;69;Villeurbanne;0;0.0;0;0;0;;;;;;0;0;0
Association Sportive Septeme et Oytier St Oblas;ASSO38;38;Septème;41;30.1;10;16;15;;;2;12;27;7;208.97;0
Asso. Sport. Saint-Junien;ASSJ;87;Saint-Junien;68;28.9;26;11;31;;8;11;23;26;199;3044.56;185
A. Sport Saint Gratien Badminton;ASSGBAD;95;Saint-Gratien;102;28.4;36;29;37;;;4;17;81;0;151.35;105
A. S. Saint-Germain-lès-Arpajon Badminton;ASSGABAD;91;Saint-Germain-lès-Arpajon;119;29.1;42;29;48;;6;21;39;53;21;2595.38;0
Association Sportive Sainte Croix en Plaine;ASSE;68;Sainte-Croix-en-Plaine;0;0.0;0;0;0;;;;;;0;0;0
Association Sportive Squash/Badminton Madeleinoise;ASSBM;59;La Madeleine;58;25.3;23;17;18;;;;3;55;0;6.61;0
Association Sportive de Saint Branchs;ASSB;37;Saint-Branchs;47;27.9;17;11;19;;;7;12;28;18;243.26;0
Ass. Sport. Sonchamp;ASSB;78;Sonchamp;0;0.0;0;0;0;;;;;;0;0;0
Ass Sportive Spaciale Aquitaine;ASSA;33;Saint-Médard-en-Jalles;5;39.6;0;2;3;;1;3;;1;0;525.17;0
Le Volant Saluceen;ASS.LVS;91;Saulx-les-Chartreux;54;29.8;19;13;22;;;4;16;34;0;273.28;280
Ass. Sport. Rochettoise de Badminton;ASRB;77;La Rochette;160;26.2;62;54;44;;5;18;34;103;116;2864;410
Association Sportive Roquentine de Badminton;ASRB;47;Laroque-Timbaut;21;26.9;7;5;9;;;1;9;11;48;125.13;0
Association Sportive Romillé;ASR;35;Romillé;66;23.3;37;11;18;;1;4;26;35;14;302.56;245
AS Ripault Badminton;ASR;37;Monts;0;0.0;0;0;0;;;;;;0;0;0
Assoc.sportive Quetignoise;ASQ;21;Quetigny;161;26.4;63;45;53;5;28;18;36;74;466;25104.2;493
ASPTT Vannes Badminton;ASPTTVB;56;Vannes;84;32.4;16;32;36;;1;14;17;52;93;1023.07;185
ASPTT Pau Badminton;ASPTTP64;64;Pau;62;24.3;28;21;13;;12;11;12;27;201;7793.19;85
Asptt Montlucon Badminton;ASPTTM;03;Montluçon;95;26.0;37;31;27;;11;20;32;32;56;5919.12;255
Association Sportive des PTT de Gaillac;ASPTTG;81;Gaillac;0;0.0;0;0;0;;;;;;0;0;0
Asptt Chalons En Champagne;ASPTTCHA;51;Châlons-en-Champagne;83;30.3;26;27;30;;2;9;26;46;54;922.78;160
Asptt Castres Badminton;ASPTT81;81;Castres;147;29.8;34;63;50;1;10;20;33;83;172;10781.8;185
Asptt Annecy Badminton;ASPTT74;74;Cran-Gevrier;102;34.1;6;52;44;;10;11;15;66;131;5783.96;0
Association P et T Orleans;ASPTT45;45;Orléans;22;29.6;0;16;6;;2;6;7;7;21;1420.41;0
Asptt Badminton Besançon;ASPTT25;25;Besançon;181;22.1;85;66;30;7;13;24;49;88;293;30698;439
Asptt Bourg en Bresse;ASPTT01;01;Bourg-en-Bresse;0;0.0;0;0;0;;;;;;0;0;0
Asptt Strasbourg;ASPTT;67;Strasbourg;164;25.7;68;53;43;27;36;20;17;64;720;225510;787
Asptt Agen;ASPTT;47;Agen;95;23.4;49;28;18;;3;7;30;55;27;2167.11;245
Asptt De Limoges;ASPTT;87;Limoges;27;23.6;12;10;5;;4;4;9;10;96;1389.38;155
ASPTT Evreux Badminton;ASPTT;27;Évreux;25;36.0;0;14;11;;;8;11;6;25;471.35;0
Asptt Marseille;ASPTT;13;Marseille;19;44.8;1;2;16;;;2;7;10;0;170.65;175
Asptt Paris;ASPTT;75;Paris;0;0.0;0;0;0;;;;;;0;0;301
Asptt Cayenne;ASPTT;973;Cayenne;0;0.0;0;0;0;;;;;;0;0;496
ASPTT Tours;ASPTT;37;Rochecorbon;0;0.0;0;0;0;;;;;;0;0;0
Association P et T Chartres;ASPTT;28;Chartres;0;0.0;0;0;0;;;;;;0;0;0
Ass. Sport. Plessis-savigny;ASPS;77;Savigny-le-Temple;155;23.8;72;42;41;3;19;24;28;81;170;21853;341
A.S. Ponts De Cé Badminton;ASPC;49;Les Ponts-de-Cé;163;22.3;82;51;30;7;14;23;34;85;347;34110.4;362
Association Sportive Poudrerie Bergerac Badminton;ASPBB;24;Bergerac;67;26.2;28;18;21;;3;15;22;27;92;2941.97;335
Association Sportive Puiseaux Badminton;ASPBAD;45;Puiseaux;49;32.6;15;8;26;;;;6;43;0;1.41;0
Association Sportive de Plaine;ASP;67;Plaine;9;32.2;0;6;3;;2;4;1;2;34;492.5;0
ASP Porcheville;ASP;78;Porcheville;45;28.3;20;7;18;;;3;15;27;24;169.09;345
Asso. Spor.omni.montenay Sec Bad;ASOM;53;Montenay;46;23.0;23;11;12;;3;15;19;9;157;1999.6;195
Association Sportive Narrossaise - Badminton;ASNBAD;40;Narrosse;53;26.7;25;6;22;;2;13;27;11;73;793.52;449
Association Sportive Noiséenne De Badminton;ASNB;93;Noisy-le-Grand;208;31.4;56;56;96;;10;25;58;115;124;4322.11;603
