Nom;Sigle;dep.;Ville;Joueurs;Age;Jeune;Sénior;Vétéran;  N  ;  R  ;  D  ;  P  ; NC ;Matchs;Points;Ecole
Union Sportive Maubeugeoise Badminton;USMB;59;Maubeuge;69;27.7;24;25;20;1;5;5;11;47;46;6155.74;0
USMA Badminton;USMA.BAD;93;Saint-Ouen;113;25.4;38;54;21;;;3;25;85;12;148.96;100
Us Mordelles Badminton;USM;35;Mordelles;87;24.9;45;16;26;;2;13;25;47;3;906.53;0
St Leu D'esserent Bad Club;USLBC;60;Saint-Leu-d'Esserent;0;0.0;0;0;0;;;;;;0;0;0
Union Sportive Lignanaise Bad.;USLBAD;33;Lignan-de-Bordeaux;35;24.5;15;12;8;;4;3;6;22;5;1411.15;0
Us Liffreenne Badminton;USLB;35;Liffré;134;27.4;54;31;49;;13;17;44;60;95;9519.45;270
Union Spor. Leguevinoise Bad.;USLB;31;Léguevin;124;29.4;46;22;56;;7;18;40;59;37;2529.87;320
Union Sportive De Lillebonne;USL;76;Lillebonne;68;29.3;22;27;19;8;5;7;12;36;79;35902.5;293
Union Sportive De Laille;USL;35;Laillé;194;22.6;109;29;56;;13;28;61;92;224;7948.53;615
U.s De La Jeunesse Mitry;USJMBAD;77;Mitry-Mory;0;0.0;0;0;0;;;;;;0;0;0
Union Sportive Du Jarnisy;USJ;54;Jarny;85;24.7;42;15;28;;3;14;23;45;52;1782.37;260
Union Sportive Jovinienne;USJ;89;Joigny;28;21.4;15;8;5;;4;6;11;7;63;1069.89;295
Union Sportive Ingré;USIBAD;45;Ingré;54;38.0;0;20;34;;;5;32;17;60;264.81;0
Union Sportive D'Ivry;USI;94;Ivry-sur-Seine;183;31.5;30;84;69;;7;17;34;125;78;2274.11;0
U.S. Issoire Badminton;USI;63;Issoire;111;29.1;40;31;40;;1;21;66;23;174;1362.57;415
Union Sportive Hondschootoise Badminton;USHB;59;Hondschoote;63;16.5;44;12;7;;1;7;9;46;11;621.66;0
Les Fous Du Volant Guipry-Messac-Pipriac;USGM;35;Guipry-Messac-Pipriac;123;26.1;51;28;44;;7;14;46;56;49;2844.02;349
Union Sportive de Badminton de Guignen;USGBAD35;35;Guignen;99;23.0;51;22;26;;;10;31;58;69;585.04;0
Union Sportive Gravelinoise;USG;59;Gravelines;53;22.8;27;16;10;9;3;1;9;31;77;51132.3;365
Union Sportive Fontenaysienne - Badminton;USFBAD;94;Fontenay-sous-Bois;154;29.7;46;48;60;3;15;27;37;72;172;16792.1;306
Union Sportive Fismoise - Badminton;USFB;51;Fismes;55;28.3;22;14;19;;2;5;12;36;15;962.37;235
Les Fer'volants;USFB;85;La Ferrière;95;26.9;36;24;35;;;13;21;61;87;706.32;125
Union des Sports Fléchois - Badminton;USF;72;La Flèche;164;24.0;83;33;48;3;9;26;27;99;271;14378.3;456
Union Sport. Ezanville-ecouen;USEE;95;Ézanville-Ecouen;198;26.9;70;68;60;20;23;21;53;81;503;159947;682
Union Sportive d'Etrépagny;USEBAD;27;Étrépagny;55;27.4;25;8;22;;;1;24;30;6;95.7;185
Union Sportive Dacquoise;USDAX;40;Dax;118;23.4;61;33;24;;12;17;24;65;267;8327.25;507
US Dunkerque;USD;59;Dunkerque;0;0.0;0;0;0;;;;;;0;0;0
Union Sport. et Cult. Vergeenne;USCV;35;Le Verger;25;34.2;2;10;13;;;4;19;2;0;320.59;0
Union Sportive des Cheminots Marseillais;USCM;13;Marseille;3;43.7;0;0;3;;;3;;;6;171.99;0
U. S. des Cheminots de Mézidon - Badminton;USCM;14;Mézidon Vallée d'Auge;0;0.0;0;0;0;;;;;;0;0;0
Union Sportive et Culturelle de Lésigny;USCLBAD;77;Lésigny;6;31.7;0;3;3;;;;6;;18;36.73;0
Union Sportive La Chapelle-Janson/Fleurigné Bad;USCF;35;La Chapelle-Janson;41;30.4;10;13;18;;;6;21;14;26;373.35;0
Union Sportive des Cheminots Dijonnais;USCD;21;Dijon;120;24.0;52;39;29;2;23;11;26;58;188;16236.9;161
Uscclm Section Badminton;USCCLMSB;41;Châtres-sur-Cher;27;30.0;5;14;8;;;8;12;7;37;376.76;0
Union Sport. Curial Cambrai;USCC;75;Paris;121;29.5;23;64;34;;5;11;27;78;39;1606.55;0
Union Sportive de Cagnes sur Mer - Badminton;USCB;06;Cagnes-sur-Mer;181;26.0;83;41;57;5;13;19;55;89;360;21340.1;537
U.S.CHARTRONS BADMINTON;USCB;33;Bordeaux;167;25.7;57;67;43;;19;8;39;101;113;15278.4;475
