id,name,club_id,start_date,url,lat,long,price_1_tab,price_2_tabs,price_3_tabs
1053, Tournoi de simple jeune et mixte sénior de F,792,21.04.2018,tournoi-badminton/17-18-tournoi-de-simple-jeune-et-mixte-senior-de-f-9063.html,45.8054,1.32597,12,,
1054, Sant Llorenç d'Hortons - Gran Bàdminton Tour,1,21.04.2018,tournoi-badminton/17-18-sant-llorenc-d-hortons-gran-badminton-tour-8933.html,41.4723,1.79438,10,13,
1055, Tournoi de Bressuire,1734,21.04.2018,tournoi-badminton/17-18-tournoi-de-bressuire-8717.html,46.8391,-0.481095,11,16,
1056,MUPPET SHOW 1,1799,21.04.2018,tournoi-badminton/17-18-muppet-show-1-8445.html,44.9922,-0.205139,15,,
1057, BETTON-Tournoi des Vacances,909,21.04.2018,tournoi-badminton/17-18-betton-tournoi-des-vacances-8530.html,48.1876,-1.64658,10,16,
1058, Stage Adulte à Brantôme,1050,21.04.2018,tournoi-badminton/17-18-stage-adulte-a-brantome-8864.html,45359,0.653625,25,,
1059,4ème Tournoi des AS,1963,21.04.2018,tournoi-badminton/17-18-4eme-tournoi-des-as-8432.html,43.7633,3.86004,10,14,
1060, TOURNOI JEUNE ET VETERAN CHAUVIGNY,171,22.04.2018,tournoi-badminton/17-18-tournoi-jeune-et-veteran-chauvigny-8847.html,46.5636,0.63071,11,,
1061, Tournoi adultes du club de TULLE,651,22.04.2018,tournoi-badminton/17-18-tournoi-adultes-du-club-de-tulle-8918.html,45.2622,1.76172,10,14,
1062, Tournoi de simple jeune et mixte séniorde Fe,792,22.04.2018,tournoi-badminton/17-18-tournoi-de-simple-jeune-et-mixte-seniorde-fe-9064.html,45.8054,1.32597,12,,
1063, Stage Compétiteurs à Brantôme,1050,22.04.2018,tournoi-badminton/17-18-stage-competiteurs-a-brantome-8863.html,45184,0.721115,25,,
1064, Tournoi de Pâques Saint-Nolff,2040,27.04.2018,tournoi-badminton/17-18-tournoi-de-paques-saint-nolff-7947.html,47.7011,-2.64504,10,,
1065, Badifolles,1951,27.04.2018,tournoi-badminton/17-18-badifolles-9146.html,48.2206,-1.78863,,,
1066, Marcheprime Bad Night,2046,27.04.2018,tournoi-badminton/17-18-marcheprime-bad-night-8959.html,44.6989,-0.84725,6,,
1067,Camp d'altitude adultes # 7,770,27.04.2018,tournoi-badminton/17-18-camp-d-altitude-adultes-7-8839.html,42.5183,2.03222,175,,
1068, Tournoi National de Quimper,188,28.04.2018,tournoi-badminton/17-18-tournoi-national-de-quimper-8691.html,47.9925,-4.12684,12,16,20
1069,Bad Avant'ure 2018,2193,28.04.2018,tournoi-badminton/17-18-bad-avant-ure-2018-8635.html,48.8288,2.37713,12,18,
1070,9eme Bad'in Dommart,872,28.04.2018,tournoi-badminton/17-18-9eme-bad-in-dommart-9114.html,48.7135,6.21193,12,18,
1071, Championnat régional vétérans - Nouvelle-Aqu,480,28.04.2018,tournoi-badminton/17-18-championnat-regional-veterans-nouvelle-aqu-8866.html,44.2077,0.555723,11,13,15
1072,EPERNAY EN DOUBLE 2018 - 5è double cuvée,864,28.04.2018,tournoi-badminton/17-18-epernay-en-double-2018-5e-double-cuvee-8495.html,49.0395,3.96713,13,19,
1073,Le Petit Olivier 5ème,1227,28.04.2018,tournoi-badminton/17-18-le-petit-olivier-5eme-8634.html,43637,5.09135,15,18,
1074,Bad en Seine 7,814,28.04.2018,tournoi-badminton/17-18-bad-en-seine-7-8763.html,49.2796,1.04184,13,18,
1075,23ème tournoi séniors de Basse Goulaine,2080,28.04.2018,tournoi-badminton/17-18-23eme-tournoi-seniors-de-basse-goulaine-8883.html,47.2178,-1.46481,12,17,
1076,La Joute des 3 Contrées - 3è édition,1188,28.04.2018,tournoi-badminton/17-18-la-joute-des-3-contrees-3e-edition-8976.html,47.6334,6.14579,13,18,
1077,4ème Tournoi du BBC01,1698,28.04.2018,tournoi-badminton/17-18-4eme-tournoi-du-bbc01-7745.html,46.1168,5.81558,14,18,20
1078,15ème Ronde Sorbérane,263,28.04.2018,tournoi-badminton/17-18-15eme-ronde-sorberane-8098.html,45.4879,4.43704,15,15,
1079,12ème édition Internationale du BRIONNAIS,1716,28.04.2018,tournoi-badminton/17-18-12eme-edition-internationale-du-brionnais-8392.html,46.2029,4.33544,16,19,
1080,3ème Tournoi des pêcheurs de Lune,1515,28.04.2018,tournoi-badminton/17-18-3eme-tournoi-des-pecheurs-de-lune-8819.html,43.6912,4.14108,12,15,
1081,7è Tournoi National du Nougat,187,28.04.2018,tournoi-badminton/17-18-7e-tournoi-national-du-nougat-8029.html,44.5447,4.74637,15,18,
1082, Tournoi de l'affiche de Chaumont,1139,28.04.2018,tournoi-badminton/17-18-tournoi-de-l-affiche-de-chaumont-8787.html,48.1055,5.14741,12,18,
1083,3eme tournoi des doubles de Simandres,337,28.04.2018,tournoi-badminton/17-18-3eme-tournoi-des-doubles-de-simandres-8402.html,45.6341,4.86273,15,18,
1084,LA PLUMA NISSARDA 2018,465,28.04.2018,tournoi-badminton/17-18-la-pluma-nissarda-2018-8906.html,43.6914,7.19428,16,18,
1085,Simples et Doubles Beaumont 2018,713,28.04.2018,tournoi-badminton/17-18-simples-et-doubles-beaumont-2018-8777.html,45.7467,3.07733,12,16,
1086,2 eme Tournoi  AquaViva Vétéran,1836,28.04.2018,tournoi-badminton/17-18-2-eme-tournoi-aquaviva-veteran-9038.html,43.7337,4.18393,14,16,
1087,COBRA2 le retour - épisode 2,948,28.04.2018,tournoi-badminton/17-18-cobra2-le-retour-episode-2-8826.html,48.0707,7.34002,13,18,23
1088, Tournoi pas Simple de Barbey,1648,28.04.2018,tournoi-badminton/17-18-tournoi-pas-simple-de-barbey-8537.html,44.8232,-0.574898,13,18,
1089,5ème edition TJV,822,28.04.2018,tournoi-badminton/17-18-17-18-5eme-edition-tjv-8849.html,46832,-1.88486,11,16,
1090, Championnats de Ligue Centre Val de Loire,1387,28.04.2018,tournoi-badminton/17-18-championnats-de-ligue-centre-val-de-loire-9091.html,47.0994,2.48294,9,12,15
1091, Tournoi Double des Corsaires,969,28.04.2018,tournoi-badminton/17-18-tournoi-double-des-corsaires-8861.html,48.6586,-1.97832,11,,
1092," Tournoi Séniors ""jean-christophe Lapeyre"" du",1792,28.04.2018,tournoi-badminton/17-18-tournoi-seniors-jean-christophe-lapeyre-du-8896.html,45.8795,1.2408,12,14,
1093, plateau MINIBAD,1066,28.04.2018,tournoi-badminton/17-18-plateau-minibad-9177.html,43.5998,7.12336,,,
1094, GPA Simple Aix en Provence,1841,29.04.2018,tournoi-badminton/17-18-gpa-simple-aix-en-provence-9065.html,43.5264,5.42412,10,,
1095,TDJ 3,1051,29.04.2018,tournoi-badminton/17-18-tdj-3-9093.html,46.3279,1.90405,7,,
1096,5ème TDA,56,29.04.2018,tournoi-badminton/17-18-5eme-tda-9041.html,42.5655,3.00591,6,,
1097,Codep 84 - TDJ de DOUBLE 6éme étape - Avigno,994,29.04.2018,tournoi-badminton/17-18-codep-84-tdj-de-double-6eme-etape-avigno-9079.html,43944,4.84557,8,,
1098, YOUNG PLAYERS,1270,29.04.2018,tournoi-badminton/17-18-young-players-9125.html,43778,-1.21646,5,,
1099, TDJ Veynes,1067,29.04.2018,tournoi-badminton/17-18-tdj-veynes-9154.html,44.5408,5.82586,10,,
1100, STAGE ADULTE,97,29.04.2018,tournoi-badminton/17-18-stage-adulte-9006.html,44.7889,-0.58823,15,,
1101, Laragne Tirage au sort BCL,1528,29.04.2018,tournoi-badminton/17-18-laragne-tirage-au-sort-bcl-9194.html,44.3175,5.82323,0,0,
1102, Stage de Perfectionnement Jeunes et Adultes,527,30.04.2018,tournoi-badminton/17-18-stage-de-perfectionnement-jeunes-et-adultes-8771.html,43.3426,5.38872,200,,
1103,Stage adultes Charente 2018,1057,01.05.2018,tournoi-badminton/17-18-stage-adultes-charente-2018-9107.html,45.5559,0.130003,8,,
1104, Stage de Perfectionnement Jeunes et Adultes,2156,01.05.2018,tournoi-badminton/17-18-stage-de-perfectionnement-jeunes-et-adultes-9195.html,43.9461,4.85318,70,,
1105, Tournoi de double,291,04.05.2018,tournoi-badminton/17-18-tournoi-de-double-9442.html,45.5548,4.61961,,,
1106, Tournoi de Simple Maurepas,1108,05.05.2018,tournoi-badminton/17-18-tournoi-de-simple-maurepas-8780.html,48.7596,1.94102,13,,
1107, BADABOB V,2110,05.05.2018,tournoi-badminton/17-18-badabob-v-8811.html,48.9057,2.44338,13,19,
1108,11ème TNA de Doubles de Chassieu,1133,05.05.2018,tournoi-badminton/17-18-11eme-tna-de-doubles-de-chassieu-8915.html,45.7421,4.98057,14,17,
1109,5eme Tournoi PAR MONTS et PAR VOLANTS,72,05.05.2018,tournoi-badminton/17-18-5eme-tournoi-par-monts-et-par-volants-8797.html,44.7123,4.20597,14,16,
1110,TIA26,2149,05.05.2018,tournoi-badminton/17-18-tia26-8988.html,45.8972,6.12516,16,19,
1111,8ème Tournoi Vétéran de Morsang,528,05.05.2018,tournoi-badminton/17-18-8eme-tournoi-veteran-de-morsang-8836.html,48.6497,2.34876,12,18,
1112,25ème Tournoi International de Bayonne,1701,05.05.2018,tournoi-badminton/17-18-25eme-tournoi-international-de-bayonne-8684.html,43.5032,-1.47248,15,18,20
1113,Volant des Sorgues 2018,970,05.05.2018,tournoi-badminton/17-18-volant-des-sorgues-2018-8611.html,43.9221,5.04402,17,17,
